ticker,year,mnir_score_pros,mnir_score_cons,mnir_ai_productivity
REG,2013,0.0,0.0,0.0
REG,2014,0.0,0.0,0.0
REG,2015,0.0,0.0,0.0
REG,2016,0.0,0.0,0.0
REG,2017,0.0,0.0,0.0
REG,2018,0.0,0.0,0.0
REG,2019,0.0,0.0,0.0
REG,2020,0.0,0.0,0.0
REG,2021,0.0,0.0,0.0
REG,2022,0.0,0.0,0.0
REG,2023,0.0,0.0,0.0
REG,2024,0.0,0.0,0.0
REG,2025,0.0,0.0,0.0
RHP,2013,0.0,0.0,0.0
RHP,2016,0.0,0.0,0.0
RHP,2017,0.0,0.0,0.0
RHP,2018,0.0,0.0,0.0
RHP,2019,0.0,0.0,0.0
RHP,2020,0.0,0.0,0.0
RHP,2021,0.0,0.0,0.0
RHP,2022,0.0,0.0,0.0
RHP,2023,0.0,0.0,0.0
RHP,2024,0.0,0.0,0.0
RHP,2025,0.0,0.0,0.0
RLJ,2024,0.0,0.0,0.0
RLJ,2025,0.0,0.0,0.0
RPT,2019,0.0,0.0,0.0
RPT,2020,0.0,0.0,0.0
RPT,2025,0.0,0.0,0.0
SAFE,2024,0.0,0.0,0.0
SBAC,2011,0.0,0.0,0.0
SBAC,2012,0.0,0.0,0.0
SBAC,2013,0.0,0.0,0.0
SBAC,2014,0.0,0.0,0.0
SBAC,2015,0.0,0.0,0.0
SBAC,2016,0.0,0.0,0.0
SBAC,2017,0.0,0.0,0.0
SBAC,2018,0.0,0.0,0.0
SBAC,2019,0.0,0.0,0.0
SBAC,2020,0.0,0.0,0.0
SBAC,2021,0.0,0.0,0.0
SBAC,2022,0.0,0.0,0.0
SBAC,2023,0.0,0.0,0.0
SBAC,2024,0.0,0.0,0.0
SBAC,2025,0.0,0.0,0.0
SILA,2017,0.0,0.0,0.0
SILA,2018,0.0,0.0,0.0
SILA,2019,0.0,0.0,0.0
SILA,2021,0.0,0.0,0.0
SILA,2022,0.0,0.0,0.0
SILA,2023,0.0,0.0,0.0
SITC,2020,0.0,0.0,0.0
SITC,2021,0.0,0.0,0.0
SITC,2022,0.0,0.0,0.0
SITC,2023,0.0,0.0,0.0
SITC,2024,0.0,0.0,0.0
SITC,2025,0.0,0.0,0.0
SKT,2014,0.0,0.0,0.0
SKT,2015,0.0,0.0,0.0
SKT,2016,0.0,0.0,0.0
SKT,2017,0.0,0.0,0.0
SKT,2018,0.0,0.0,0.0
SKT,2019,0.0,0.0,0.0
SKT,2020,0.0,0.0,0.0
SKT,2021,0.0,0.0,0.0
SKT,2022,0.0,0.0,0.0
SKT,2023,0.0,0.0,0.0
SKT,2024,0.0,0.0,0.0
SKT,2025,0.0,0.0,0.0
SLG,2008,0.0,0.0,0.0
SLG,2013,0.0,0.0,0.0
SLG,2015,0.0,0.0,0.0
SLG,2016,0.0,0.0,0.0
SLG,2017,0.0,0.0,0.0
SLG,2018,0.0,0.0,0.0
SLG,2019,0.0,0.0,0.0
SLG,2020,0.0,0.0,0.0
SLG,2021,0.0,0.0,0.0
SLG,2022,0.0,0.0,0.0
SLG,2023,0.0,0.0,0.0
SLG,2024,0.0,0.0,0.0
SLG,2025,0.0,0.0,0.0
SMA,2013,0.0,0.0,0.0
SMA,2014,0.0,0.0,0.0
SMA,2015,0.0,0.0,0.0
SMA,2016,0.0,0.0,0.0
SMA,2017,0.0,0.0,0.0
SMA,2018,0.0,0.0,0.0
SMA,2019,0.0,0.0,0.0
SMA,2020,0.0,0.0,0.0
SMA,2021,0.0,0.0,0.0
SMA,2022,0.0,0.0,0.0
SMA,2023,0.0,0.0,0.0
SMA,2024,0.0,0.0,0.0
SMA,2025,0.0,0.0,0.0
SPG,2008,0.0,0.0,0.0
SPG,2010,0.0,0.0,0.0
SPG,2011,0.0,0.0,0.0
SPG,2012,0.0,0.0,0.0
SPG,2013,0.0,0.0,0.0
SPG,2014,0.0,0.0,0.0
SPG,2015,0.0,0.0,0.0
SPG,2016,0.0,0.0,0.0
SPG,2017,0.0,0.0,0.0
SPG,2018,0.0,0.0,0.0
SPG,2019,0.0,0.0,0.0
SPG,2020,0.0,0.0,0.0
SPG,2021,0.0,0.0,0.0
SPG,2022,0.0,0.0,0.0
SPG,2023,0.0,0.0,0.0
SPG,2024,0.0,0.0,0.0
SPG,2025,0.0,0.0,0.0
STAG,2013,0.0,0.0,0.0
STAG,2014,0.0,0.0,0.0
STAG,2016,0.0,0.0,0.0
STAG,2017,0.0,0.0,0.0
STAG,2021,0.0,0.0,0.0
STAG,2022,0.0,0.0,0.0
STAG,2023,0.0,0.0,0.0
STAG,2024,0.0,0.0,0.0
STWD,2013,0.0,0.0,0.0
STWD,2014,0.0,0.0,0.0
STWD,2015,0.0,0.0,0.0
STWD,2016,0.0,0.0,0.0
STWD,2017,0.0,0.0,0.0
STWD,2018,0.0,0.0,0.0
STWD,2019,0.0,0.0,0.0
STWD,2020,0.0,0.0,0.0
STWD,2021,0.0,0.0,0.0
STWD,2022,0.0,0.0,0.0
STWD,2023,0.0,0.0,0.0
STWD,2024,0.0,0.0,0.0
